,Fare,distance,passenger_count,year,Month,Date,Hour,Minute,Second
65,11.5,3.3747176752522785,6.0,2015,4,12,10,19,5
66,4.9,0.8348083195110623,1.0,2015,5,12,23,51,42
67,6.9,0.9220567244765476,2.0,2009,8,2,2,34,11
68,3.7,0.8431716191246084,1.0,2010,1,31,10,53,0
69,6.9,1.0550509799348091,2.0,2010,5,14,8,9,0
70,10.1,1.199581340993619,2.0,2012,5,21,15,20,0
71,16.5,5.403879988156991,1.0,2014,12,8,16,0,1
72,15.07,3.4213563235410898,2.0,2010,8,16,1,33,0
73,7.7,1.4916710867044205,1.0,2010,12,4,14,26,13
74,24.9,12.503191434517614,1.0,2011,8,12,4,20,0
75,7.0,2.347843419703802,2.0,2013,2,6,22,16,0
76,8.5,1.933808947547353,1.0,2014,6,11,22,24,21
77,5.7,1.5738348655595988,1.0,2010,8,19,16,33,0
78,5.0,0.8335558476750795,1.0,2013,3,10,15,44,0
79,8.5,1.4870365779340682,1.0,2013,6,14,8,27,43
80,17.0,5.898888128386414,1.0,2013,7,8,21,24,0
81,8.0,2.5327861934336604,1.0,2014,3,21,11,0,29
82,12.0,1.6529634350257991,1.0,2014,10,2,13,39,56
83,12.5,5.124102242496775,1.0,2011,8,31,8,21,47
84,7.5,2.519323475407563,1.0,2014,5,19,6,26,0
85,6.9,1.7527758234242112,5.0,2012,4,5,5,50,0
86,5.0,0.5898938816188101,2.0,2015,3,4,14,55,40
87,10.5,3.9978730570076046,1.0,2010,4,27,21,40,7
88,7.7,2.2170362370838084,1.0,2011,2,22,11,9,16
89,11.0,1.9856472251497608,2.0,2015,4,3,16,21,30
90,5.7,1.2966696240204352,1.0,2009,1,9,15,1,20
91,9.0,2.2333353855279303,1.0,2013,1,9,14,42,0
92,13.5,3.2099660820280964,1.0,2013,7,6,17,18,0
93,7.5,1.4238718586571733,1.0,2013,10,8,17,29,0
94,9.0,1.4930133162072008,1.0,2014,12,7,12,26,0
95,14.0,3.5015295369548194,1.0,2015,5,17,8,2,59
96,5.7,1.3086473967159056,3.0,2011,6,9,0,53,0
97,10.0,2.4421716578214028,1.0,2014,11,12,12,40,29
98,5.7,1.1791227096826804,5.0,2010,6,4,14,49,0
99,9.7,4.214843260447443,2.0,2010,11,8,20,42,0
100,14.1,6.143583151299904,1.0,2011,3,9,7,24,34
101,7.7,0.7537792400504155,2.0,2011,8,4,10,38,0
102,11.3,4.072171189248378,1.0,2010,3,22,10,1,0
103,8.5,3.308094271635954,1.0,2012,3,25,9,22,45
104,12.9,2.929835609474563,6.0,2012,6,5,9,16,0
105,9.5,0.5652065948395435,1.0,2012,11,6,11,33,14
106,9.0,2.0414319435657267,1.0,2014,5,22,18,30,0
107,10.0,2.005506386703129,6.0,2014,10,17,8,28,0
108,35.0,7.5988216789234375,2.0,2012,12,6,18,5,0
109,9.0,1.491065248567844,1.0,2012,12,6,18,5,0
110,17.0,2.957089316015284,1.0,2014,7,20,12,48,35
111,6.1,1.1071053436887588,5.0,2009,1,25,18,41,0
112,14.5,4.618337892171626,2.0,2010,3,27,2,26,39
113,3.7,0.4812382978433049,1.0,2011,1,5,17,39,0
114,32.5,8.300779646505484,2.0,2012,5,11,15,3,53
115,5.3,1.5230785509971188,3.0,2010,1,3,10,20,12
116,11.5,3.255190524164958,5.0,2012,11,8,21,0,0
117,4.0,0.939859398244954,1.0,2013,11,23,23,34,3
118,10.5,2.6526570705135333,1.0,2010,6,17,16,12,58
119,17.7,9.71765678954266,1.0,2012,8,19,19,56,34
120,5.0,1.6801188246285632,1.0,2013,5,10,16,39,8
121,12.66,5.866838634800098,1.0,2013,9,17,4,22,0
122,8.0,2.3287163450751005,1.0,2014,1,6,21,21,0
123,7.3,1.8725153107790775,2.0,2010,9,30,8,38,0
124,6.5,1.8000214667390804,5.0,2012,10,6,15,47,0
125,8.0,1.3824067721925977,1.0,2013,2,11,0,13,0
126,16.5,5.4682900848371485,1.0,2014,9,12,23,10,0
127,49.57,19.85372641578448,2.0,2009,9,22,21,14,0
128,10.5,3.672014848751729,2.0,2012,2,3,13,46,35
129,22.5,13.333623340098839,5.0,2012,2,12,1,26,0
130,11.5,3.139658492037277,1.0,2012,12,21,6,47,0
131,12.5,1.2652202037312927,2.0,2014,11,1,16,51,9
132,5.5,0.7144017627731796,1.0,2013,1,26,18,36,0
133,6.5,1.7867574096783352,1.0,2013,5,20,11,3,50
134,16.5,6.366378950361793,3.0,2015,5,31,7,33,18
135,9.0,2.9039360028110157,1.0,2015,2,15,22,41,32
136,8.9,2.078056549124242,1.0,2009,6,25,10,29,0
137,10.9,3.762160258061291,1.0,2009,7,23,17,5,10
138,8.9,2.7516430725843586,1.0,2011,3,19,15,0,27
139,8.5,1.7895580417555097,1.0,2011,5,6,11,37,14
140,17.0,2.0953982917665286,1.0,2013,2,8,9,50,4
141,12.5,6.153247369452993,1.0,2010,8,24,1,39,26
142,52.5,20.441034551949368,1.0,2014,5,13,22,19,0
143,16.0,6.519457650560859,1.0,2014,10,25,21,24,0
144,8.0,2.004433050543818,1.0,2015,4,19,22,21,12
145,17.3,8.814559278832698,2.0,2010,5,17,7,44,0
146,5.7,2.2848002230430318,1.0,2011,10,26,3,37,0
147,5.5,1.1163754027968806,1.0,2015,4,18,9,30,31
148,16.5,6.659208432398169,2.0,2009,2,27,13,31,21
149,12.9,5.1885710967511605,2.0,2009,7,16,20,33,0
150,10.1,3.185948425958357,1.0,2011,5,16,13,10,38
151,9.5,1.5337015630204816,1.0,2013,8,9,21,19,0
152,4.5,0.9825469211965966,5.0,2010,3,14,15,40,0
153,6.5,0.9674401046761156,1.0,2011,4,27,13,19,48
154,21.5,8.381068532948099,1.0,2015,1,30,0,16,6
155,8.0,1.0475242667979787,1.0,2014,11,4,12,11,19
156,4.9,1.2204876238830171,1.0,2009,12,27,21,7,39
157,5.7,0.9169921158015012,2.0,2010,7,4,13,7,47
158,15.3,5.963232216110161,5.0,2011,6,12,13,33,0
159,14.9,4.021477824032502,1.0,2012,8,28,12,29,40
160,7.0,1.1406988536397615,1.0,2012,11,11,18,23,0
161,35.5,14.045434796935506,1.0,2013,3,24,18,5,42
162,8.5,2.285504576501259,1.0,2014,8,13,8,26,0
163,5.1,1.048286906428184,1.0,2009,1,16,21,10,0
164,4.1,0.6785365532871906,1.0,2011,1,21,18,43,46
165,11.7,4.846175485623563,1.0,2011,2,26,20,27,36
166,23.0,10.181982919704344,1.0,2013,6,22,2,35,1
167,5.7,1.107325241411708,2.0,2009,6,6,23,56,0
168,5.3,1.4351776617676804,1.0,2009,1,24,9,51,0
169,10.5,1.3748658580610174,3.0,2015,2,27,7,50,56
170,4.9,1.5637852104937169,1.0,2009,3,25,14,48,49
171,6.5,1.4324553333024517,4.0,2010,9,10,18,45,0
172,11.3,3.0823324217495465,2.0,2011,8,31,13,47,2
173,11.5,4.5815008941163375,1.0,2013,4,12,4,39,51
174,5.3,0.8469500462415024,2.0,2009,5,29,9,46,11
175,5.7,1.4003567538213808,1.0,2010,7,15,19,9,1
176,8.1,2.812804739229268,1.0,2009,9,7,18,52,0
177,6.1,2.240208932604791,1.0,2010,6,9,6,20,32
178,9.3,2.474359346376099,1.0,2012,4,15,17,2,44
179,4.5,0.003981933884645582,2.0,2013,2,6,14,52,0
180,5.7,1.3860321056147649,4.0,2011,12,13,5,56,0
181,16.5,5.334586972307967,2.0,2014,7,27,8,22,0
182,17.0,5.136196621945152,2.0,2013,6,6,15,23,56
183,24.5,5.9898622944553885,6.0,2014,7,12,15,22,0
184,6.1,1.6769820416920898,1.0,2010,5,25,20,14,0
185,6.0,1.6549944998785038,1.0,2012,9,8,0,49,20
186,4.5,0.9671425893311696,3.0,2012,8,30,18,57,0
187,27.0,7.061420790966861,1.0,2013,5,2,7,41,0
188,16.0,1.5781855544916867,3.0,2014,2,5,0,28,0
189,16.1,5.164998107300444,1.0,2010,1,12,17,11,0
190,15.7,3.614372450324757,2.0,2010,11,7,17,14,23
191,26.9,10.65953044678514,6.0,2012,4,22,0,35,0
192,5.5,0.7786362313000845,1.0,2013,1,5,21,36,0
193,6.0,1.1739212270579071,1.0,2013,10,5,9,12,21
194,7.7,1.5978583028114364,1.0,2009,11,16,23,53,0
195,12.9,3.5097964870541087,1.0,2011,4,5,11,29,0
196,11.3,4.241950132825062,1.0,2012,4,25,20,39,0
197,42.5,17.984700398971118,2.0,2011,1,10,16,7,0
198,5.7,0.962145329409986,2.0,2011,1,14,18,10,0
199,5.3,0.8896100493264851,2.0,2012,4,2,8,2,16
200,10.5,3.6306039402257135,1.0,2010,2,10,8,57,54
201,7.3,3.895009075654504,1.0,2011,5,31,22,21,1
202,4.5,0.7424194855420512,1.0,2011,9,26,9,32,42
203,12.5,2.6990475215759644,1.0,2012,10,23,8,9,25
204,16.5,6.626220126037983,1.0,2013,9,7,22,29,0
205,4.9,0.9192555712943244,2.0,2012,7,31,19,20,0
206,4.1,0.9450053515642248,1.0,2011,8,26,8,0,0
207,15.5,4.5206038457115305,1.0,2013,3,17,12,56,58
208,11.0,3.2950476050381186,1.0,2015,5,25,15,11,9
209,4.9,1.1168514328374337,2.0,2009,4,8,19,11,10
210,11.3,5.753466413396809,1.0,2009,6,6,1,57,52
211,7.3,3.514700320008608,1.0,2011,2,27,14,45,0
212,14.9,2.346518604887375,6.0,2012,1,13,11,28,0
213,30.9,9.44959774971357,5.0,2012,3,16,7,58,0
214,6.1,1.816433638046797,1.0,2012,6,18,20,57,27
215,3.3,0.15382256279760398,1.0,2010,2,23,9,49,0
216,4.1,0.6896904899249048,1.0,2012,1,6,7,5,8
217,12.0,2.325484491839214,3.0,2014,7,21,14,3,0
218,9.0,1.1809566185942972,1.0,2014,8,5,11,44,33
219,2.5,0.0691536460743482,1.0,2012,3,29,3,51,0
220,8.9,2.3608111814960786,1.0,2012,6,30,13,43,0
221,10.5,1.885547216841829,1.0,2014,1,31,4,49,53
222,5.7,1.0044163073877654,1.0,2010,11,16,19,40,0
223,7.0,1.5211078248745376,2.0,2012,12,15,19,11,53
224,12.0,4.924401128451173,1.0,2014,7,20,23,51,54
225,49.57,20.309386241038407,1.0,2010,5,24,14,24,0
226,4.5,1.4853510239918783,1.0,2012,8,18,18,33,0
227,7.3,1.80720822868554,5.0,2009,8,8,21,32,0
228,5.3,2.0171994397293593,1.0,2010,1,8,0,28,0
229,6.9,2.660474869383805,5.0,2010,9,19,19,28,0
230,9.3,2.5646754136827545,1.0,2012,5,16,18,14,0
231,6.7,1.6987605073844896,1.0,2009,2,13,16,54,52
232,9.54,2.2233674909530134,1.0,2009,6,20,19,28,37
233,9.0,2.4436743272336328,1.0,2013,9,3,8,8,0
234,13.0,3.2967725065550195,2.0,2013,1,20,14,33,27
235,19.0,9.184191497793734,1.0,2013,7,31,6,51,13
236,5.5,1.020638413492986,1.0,2013,9,9,22,12,59
237,8.1,3.5021452993000746,1.0,2009,1,23,7,28,0
238,9.3,3.0623757591893463,1.0,2011,2,18,13,19,49
239,18.0,4.837078805465869,1.0,2013,5,11,19,51,0
240,12.0,2.101063237889196,1.0,2014,9,13,12,17,0
241,7.3,2.297574217707004,1.0,2009,4,21,22,59,27
242,4.9,1.2316250316399853,2.0,2009,9,26,15,17,20
243,16.1,4.310776426201293,1.0,2010,5,28,21,33,7
244,12.9,5.963341601732483,2.0,2011,5,2,8,20,11
245,4.0,0.6413676098840064,1.0,2015,2,14,19,0,23
246,15.3,4.616319668915861,1.0,2011,5,2,12,44,59
247,11.7,3.652495092745055,1.0,2012,6,24,17,33,0
248,25.3,14.978929237248995,1.0,2010,5,22,23,29,57
249,8.9,3.0675097271199445,1.0,2010,6,30,2,22,5
250,6.0,0.7560648946600923,1.0,2013,4,26,2,6,0
251,6.0,1.2343262690583756,1.0,2013,5,2,3,57,12
252,6.5,1.4969568649116431,1.0,2011,1,23,11,44,28
253,7.5,2.0582517808863985,1.0,2012,10,14,21,6,27
254,16.5,1.982744348351552,1.0,2015,4,30,14,7,57
255,4.9,0.8260271377013141,2.0,2010,7,12,9,44,33
256,9.7,4.464564109250142,1.0,2012,1,8,19,3,15
257,7.7,2.921295952396861,1.0,2012,4,24,13,0,36
258,19.0,6.28203980976162,2.0,2014,5,9,9,42,16
259,16.9,9.334028971849023,1.0,2009,7,31,13,53,52
260,10.5,2.4857249932172865,2.0,2012,11,18,12,17,0
261,8.9,2.1189440867075557,3.0,2011,6,15,18,7,0
262,5.5,0.905475980644028,1.0,2012,9,6,13,41,0
263,10.9,4.039012265048447,1.0,2009,5,13,18,17,0
264,5.7,1.8059496917341689,1.0,2010,1,17,22,7,0
265,18.1,5.885558053077237,2.0,2009,12,6,11,58,29
266,10.9,4.860806496660623,5.0,2010,6,30,6,15,0
267,8.9,3.949147709944884,5.0,2011,4,4,18,56,0
268,13.5,5.633744298922597,2.0,2014,3,3,23,30,0
269,5.0,1.4138983482866905,2.0,2014,5,19,20,59,26
270,5.3,1.1294091475023174,1.0,2011,12,7,19,40,21
271,7.7,1.6586352360070078,1.0,2012,6,17,2,5,53
272,9.0,2.595040208054533,1.0,2013,1,1,14,26,0
273,16.1,2.8690483508982854,1.0,2011,10,8,0,24,0
274,4.9,1.0550540970600053,2.0,2012,7,30,16,19,8
275,5.5,1.255913698060637,1.0,2012,9,9,10,24,15
276,57.33,21.374817191619197,1.0,2013,6,14,17,37,0
277,8.5,1.8393199089505252,3.0,2014,2,28,22,45,7
278,9.5,4.0084505495806715,1.0,2014,6,10,14,18,29
279,7.5,1.937915225018762,1.0,2015,3,29,13,31,25
280,7.5,1.7747704223037732,2.0,2013,9,21,2,54,0
281,8.1,2.0052619089149593,1.0,2009,8,31,10,25,0
282,6.1,2.3637867514918693,2.0,2011,1,18,23,48,0
283,5.7,0.8805886012588797,1.0,2012,6,26,13,8,14
284,14.1,4.178104160821193,1.0,2010,1,21,8,39,0
285,5.7,1.6749825621436656,1.0,2011,7,21,15,43,0
286,7.0,1.40800430920533,1.0,2013,11,6,11,26,54
287,12.0,3.540757624357504,1.0,2014,2,9,2,17,0
288,11.5,3.352248126092186,1.0,2015,4,18,8,29,8
289,12.1,4.274992490692721,1.0,2010,3,27,22,20,51
290,26.67,8.182980106586818,1.0,2010,6,15,13,31,8
291,4.5,1.2341895361626658,1.0,2010,9,13,9,37,0
292,10.1,3.144328065984701,1.0,2011,4,4,20,59,1
293,7.7,2.8118844754183243,1.0,2011,5,8,10,43,27
294,20.02,7.557582136029695,2.0,2014,7,11,5,7,0
295,19.0,4.915377053464981,1.0,2014,8,21,10,21,17
296,14.0,3.352643380197704,1.0,2013,10,31,11,49,16
297,5.0,1.196523667109003,1.0,2013,11,15,1,51,35
298,43.5,15.74045109142516,1.0,2015,5,10,22,41,10
299,8.0,1.7780118826903986,1.0,2015,6,20,9,50,28
300,8.7,3.165521553394018,4.0,2009,3,13,17,43,18
301,3.7,0.6194697618908952,1.0,2011,1,27,21,30,0
302,20.5,11.038016435208695,1.0,2011,11,24,1,58,25
303,34.0,15.577588050095944,4.0,2015,6,2,23,16,15
304,52.83,9.239863481530847,1.0,2015,3,19,12,38,17
305,6.1,1.8366177465173024,1.0,2009,7,16,22,38,0
306,8.5,1.6260694597096816,1.0,2013,6,22,13,48,0
307,20.0,0.2577280609398052,1.0,2014,3,10,19,50,51
308,10.5,4.46827493382349,1.0,2010,5,28,8,18,34
309,26.5,7.748944638002793,1.0,2012,3,10,22,53,25
310,8.0,2.046086161107912,4.0,2015,6,1,21,41,6
311,10.6,2.8084550814339417,1.0,2009,1,26,0,44,42
312,4.5,1.107157569844068,1.0,2010,9,21,7,6,31
313,9.7,3.2736259646655133,1.0,2011,3,9,22,21,25
314,20.5,7.6556845872827495,1.0,2011,12,5,8,38,34
315,9.3,3.1557245929338253,1.0,2012,1,6,10,57,10
316,18.5,4.978067084351336,1.0,2014,5,25,21,9,0
317,5.0,0.4223271896143171,2.0,2014,4,27,21,56,45
318,34.0,9.471985190087073,1.0,2009,8,3,8,19,45
319,23.5,7.246804098130722,1.0,2012,11,8,20,7,35
320,4.5,0.5388568425819682,3.0,2009,12,11,15,57,17
321,8.0,2.103927465661492,1.0,2013,12,7,13,25,0
322,26.5,0.08646167504363596,5.0,2010,2,27,20,13,0
323,5.5,0.9394162114471664,2.0,2014,12,24,11,23,0
324,6.1,0.8775282331869281,1.0,2009,3,23,20,24,0
325,4.9,0.7229705667776314,4.0,2010,3,23,17,43,0
326,5.3,1.7853653635404256,1.0,2010,1,26,14,55,0
327,8.1,2.0464268947929183,1.0,2011,7,5,14,23,0
328,20.33,4.440210770267302,1.0,2013,4,1,0,4,15
329,4.5,0.9683898141495164,1.0,2013,6,28,20,24,0
330,7.0,2.0663069331205794,1.0,2014,5,12,12,11,28
331,7.7,2.4384751389526853,1.0,2009,7,11,12,20,3
332,7.3,1.2194961333511103,1.0,2009,10,16,10,32,0
333,33.07,10.371772362350056,2.0,2010,6,9,14,53,47
334,36.5,9.00951239840509,5.0,2011,5,4,13,44,0
335,5.0,0.7815824726877065,2.0,2014,1,1,5,22,0
336,23.5,5.5054658412771795,1.0,2014,6,25,17,43,16
337,6.1,1.4240479249641531,1.0,2012,5,9,15,26,0
338,11.0,2.531583121090944,1.0,2013,1,12,18,10,0
339,5.98,1.2391510702323734,6.0,2014,9,5,15,23,0
340,11.3,5.0412648548432974,5.0,2009,9,20,11,32,0
341,8.1,1.7102390374562553,1.0,2009,11,15,19,58,0
342,8.9,3.0816204118825,3.0,2010,3,28,22,32,44
343,4.5,1.6353860136645453,1.0,2011,2,19,22,25,0
344,11.0,2.1459003107760517,1.0,2013,1,31,19,38,5
345,8.5,1.6179969181096931,1.0,2013,6,18,10,27,5
346,8.1,1.8612282579078192,1.0,2010,1,15,11,11,7
347,6.9,1.1900978190886446,1.0,2010,9,19,15,17,0
348,6.0,1.0808148621136875,1.0,2013,11,19,22,9,0
349,5.3,1.0923062276990083,1.0,2009,4,27,20,28,39
350,6.1,1.2264230494058541,1.0,2011,11,27,0,57,39
351,9.5,2.84846228504452,2.0,2012,11,10,0,30,53
352,11.5,2.6374330727362016,1.0,2013,12,18,9,15,0
353,17.0,4.927833088707022,6.0,2015,3,14,9,23,41
354,5.3,1.2738924939374685,1.0,2009,7,30,14,44,0
355,10.0,2.6425911107519857,1.0,2013,6,11,16,27,57
356,15.5,3.725492585419941,1.0,2014,12,8,1,0,16
357,6.9,1.906900078869724,1.0,2010,6,11,17,41,38
358,18.1,6.726041238127806,1.0,2011,5,1,12,48,32
359,15.5,1.7050758991510735,1.0,2015,5,21,9,23,5
360,10.1,3.976347326356346,1.0,2012,2,3,1,55,19
361,21.5,7.645541044074653,6.0,2013,3,22,19,20,0
362,8.5,1.1673776455600704,1.0,2014,10,4,20,10,0
363,7.3,1.0655598010970817,1.0,2012,8,12,16,22,52
364,8.5,1.214820692742412,1.0,2014,9,16,15,12,19
365,6.1,1.3506474099463337,5.0,2010,7,25,9,56,0
366,14.1,4.8059373525254365,1.0,2012,2,25,19,43,0
367,6.0,0.9250774724506962,1.0,2013,12,30,15,16,17
368,8.5,1.8037376258911768,1.0,2014,12,5,13,59,54
369,8.0,1.6349780643904626,1.0,2015,5,4,9,36,13
370,5.3,1.6236578328748172,1.0,2012,4,25,16,19,0
371,10.5,2.688816540051826,1.0,2014,1,6,19,24,29
372,5.5,1.0990308466462857,1.0,2015,2,20,7,12,52
373,8.1,1.9630717453806492,1.0,2009,8,21,19,35,5
374,8.5,0.7731877946168902,1.0,2014,4,29,9,51,15
375,6.1,1.9002525601756937,1.0,2010,11,26,16,1,1
376,12.9,4.5869762457523615,1.0,2010,12,26,11,50,32
377,10.0,6.336947737845971,5.0,2014,2,1,21,6,0
378,8.5,1.9454101321510835,6.0,2014,7,8,20,16,0
379,4.9,0.7224628047300486,1.0,2010,4,15,18,13,0
380,6.0,1.8394779950956128,1.0,2012,9,26,13,14,47
381,5.0,0.5803109690924129,1.0,2014,1,10,8,16,7
382,13.5,2.502873196457349,1.0,2013,3,2,15,47,27
383,33.83,8.724907078092157,1.0,2015,3,11,14,48,58
384,25.7,11.017702208802245,1.0,2009,9,2,5,18,10
385,13.7,4.3339659178679355,3.0,2010,5,21,8,35,0
386,10.5,3.8166823576538933,1.0,2011,10,16,22,37,25
387,5.7,1.1838911982725269,1.0,2012,3,7,11,26,12
388,9.0,2.7258302571058306,2.0,2013,8,24,17,7,0
389,22.5,7.254662841346244,1.0,2014,2,6,11,17,0
390,7.5,1.2138630914567834,1.0,2014,2,6,11,17,0
391,14.1,4.424132107507292,1.0,2011,4,20,18,51,56
392,9.3,2.2980523275936746,1.0,2012,5,3,21,28,0
393,4.0,0.5552825770641011,1.0,2014,2,22,18,41,34
394,5.5,1.0522796113501087,1.0,2014,10,3,16,31,0
395,9.3,1.92277074508272,1.0,2009,5,18,12,30,0
396,7.3,1.7184951936745338,2.0,2010,6,26,9,59,0
397,4.5,0.7909836286543276,1.0,2013,6,20,12,36,8
398,8.78,2.179002905369699,3.0,2013,9,12,11,32,0
399,5.7,1.18955361741062,2.0,2010,4,10,16,56,0
400,8.0,1.6499736365535993,1.0,2014,11,15,13,12,56
401,20.5,7.4745121608737985,2.0,2015,5,20,20,29,35
402,9.3,3.4751299104173308,1.0,2011,10,16,11,37,46
403,8.5,2.754868698577599,2.0,2011,10,21,8,18,49
404,8.1,2.464471195123464,1.0,2012,3,24,22,13,0
405,5.0,0.7570510750443751,5.0,2013,12,9,9,16,0
406,5.3,0.5037393189843273,5.0,2009,1,16,5,58,0
407,5.3,1.3922910276030442,1.0,2010,4,21,13,39,0
408,6.9,2.557269507974352,2.0,2011,7,1,8,24,0
409,8.5,1.8167201943314997,1.0,2014,10,21,7,4,6
410,6.5,2.484065253464167,1.0,2012,7,2,8,43,33
411,29.0,4.746889127678634,1.0,2012,9,15,2,17,0
412,21.0,6.9548420647590925,6.0,2014,1,29,22,41,0
413,14.5,4.750050334001463,2.0,2009,1,2,10,13,46
414,32.9,9.295409034629555,1.0,2009,9,12,10,56,0
415,6.1,3.009314344605276,1.0,2011,5,17,7,53,19
416,13.0,2.5730797839843835,1.0,2013,11,7,10,19,35
417,15.0,1.81248881436922,1.0,2014,7,11,12,24,43
418,4.9,0.9573057179333789,1.0,2010,2,3,14,33,29
419,8.9,2.7807592527574334,5.0,2010,11,11,21,18,0
420,8.1,2.3716409719859683,1.0,2012,4,5,20,19,3
421,6.0,1.2910555865885605,1.0,2013,4,30,16,25,36
422,57.33,20.53258640774652,1.0,2014,5,12,23,31,0
423,8.0,1.7201177752668773,1.0,2014,5,20,13,15,0
424,8.5,2.3479355911398323,1.0,2009,11,28,17,12,0
425,8.9,3.5714201293123264,1.0,2010,1,31,15,21,8
426,10.5,0.9405542039771616,5.0,2010,8,6,9,29,0
427,10.1,5.588328599333569,2.0,2010,9,8,15,14,0
428,49.8,21.416121645042036,3.0,2011,11,15,13,7,50
429,5.0,1.0612557465877699,1.0,2015,2,1,17,24,59
430,6.0,1.3421270646363184,1.0,2015,2,16,17,12,44
431,13.3,4.001504790525034,1.0,2010,2,26,23,56,0
432,7.0,0.5627476510128855,1.0,2015,4,9,7,20,46
433,10.5,3.1181581243353858,2.0,2012,3,28,13,9,20
434,56.8,20.7357724081734,1.0,2012,12,21,13,10,0
435,14.5,3.58937959634388,1.0,2013,12,4,18,13,0
436,11.3,0.09570414495578417,2.0,2010,11,25,22,54,0
437,6.5,0.8847891794498834,1.0,2011,1,14,17,22,12
438,5.7,1.8234189566714916,1.0,2011,6,2,14,4,0
439,13.0,3.658418418424144,1.0,2013,5,2,1,22,0
440,15.14,7.6913872477972465,5.0,2014,7,3,1,34,0
